"","date","state","fips","cases","deaths"
"1","2021-04-08","California",6,3690309,60115
"2","2021-04-08","Michigan",26,802580,17440
"3","2021-04-08","Nebraska",31,213188,2315
"4","2021-04-08","New York",36,1932145,50388
"5","2021-04-08","Washington",53,375381,5367
"6","2021-04-09","California",6,3693923,60272
"7","2021-04-09","Michigan",26,811304,17471
"8","2021-04-09","Nebraska",31,213574,2326
"9","2021-04-09","New York",36,1940703,50465
"10","2021-04-09","Washington",53,376812,5373
"11","2021-04-10","California",6,3696900,60361
"12","2021-04-10","Michigan",26,818667,17552
"13","2021-04-10","Nebraska",31,214010,2327
"14","2021-04-10","New York",36,1948232,50527
"15","2021-04-10","Washington",53,377979,5373
"16","2021-04-11","California",6,3700795,60446
"17","2021-04-11","Michigan",26,818836,17552
"18","2021-04-11","Nebraska",31,214207,2328
"19","2021-04-11","New York",36,1954809,50610
"20","2021-04-11","Washington",53,378052,5373
"21","2021-04-12","California",6,3704295,60484
"22","2021-04-12","Michigan",26,829424,17566
"23","2021-04-12","Nebraska",31,214351,2332
"24","2021-04-12","New York",36,1960567,50693
"25","2021-04-12","Washington",53,380554,5380
"26","2021-04-13","California",6,3706904,60535
"27","2021-04-13","Michigan",26,839486,17648
"28","2021-04-13","Nebraska",31,214682,2335
"29","2021-04-13","New York",36,1965610,50745
"30","2021-04-13","Washington",53,381537,5391
"31","2021-04-14","California",6,3709392,60710
"32","2021-04-14","Michigan",26,848824,17683
"33","2021-04-14","Nebraska",31,215074,2327
"34","2021-04-14","New York",36,1971610,50839
"35","2021-04-14","Washington",53,382627,5407
"36","2021-04-15","California",6,3711717,60797
"37","2021-04-15","Michigan",26,856086,17806
"38","2021-04-15","Nebraska",31,215383,2327
"39","2021-04-15","New York",36,1978594,50912
"40","2021-04-15","Washington",53,383951,5412
"41","2021-04-16","California",6,3714542,60911
"42","2021-04-16","Michigan",26,865876,17848
"43","2021-04-16","Nebraska",31,215792,2330
"44","2021-04-16","New York",36,1984884,50965
"45","2021-04-16","Washington",53,385695,5427
"46","2021-04-17","California",6,3716759,60977
"47","2021-04-17","Michigan",26,871907,17922
"48","2021-04-17","Nebraska",31,216297,2334
"49","2021-04-17","New York",36,1991271,51034
"50","2021-04-17","Washington",53,387312,5427
"51","2021-04-18","California",6,3718367,61022
"52","2021-04-18","Michigan",26,871912,17922
"53","2021-04-18","Nebraska",31,216473,2334
"54","2021-04-18","New York",36,1996876,51077
"55","2021-04-18","Washington",53,387382,5427
"56","2021-04-19","California",6,3720922,61034
"57","2021-04-19","Michigan",26,881121,17987
"58","2021-04-19","Nebraska",31,216613,2343
"59","2021-04-19","New York",36,2002053,51122
"60","2021-04-19","Washington",53,388842,5439
"61","2021-04-20","California",6,3723405,61111
"62","2021-04-20","Michigan",26,887642,18075
"63","2021-04-20","Nebraska",31,217108,2347
"64","2021-04-20","New York",36,2006712,51183
"65","2021-04-20","Washington",53,390415,5451
"66","2021-04-21","California",6,3725355,61199
"67","2021-04-21","Michigan",26,893610,18119
"68","2021-04-21","Nebraska",31,217596,2349
"69","2021-04-21","New York",36,2010967,51228
"70","2021-04-21","Washington",53,392013,5466
"71","2021-04-22","California",6,3727911,61290
"72","2021-04-22","Michigan",26,899108,18239
"73","2021-04-22","Nebraska",31,217905,2349
"74","2021-04-22","New York",36,2016244,51299
"75","2021-04-22","Washington",53,393514,5472
"76","2021-04-23","California",6,3730175,61390
"77","2021-04-23","Michigan",26,904751,18272
"78","2021-04-23","Nebraska",31,218197,2355
"79","2021-04-23","New York",36,2021094,51361
"80","2021-04-23","Washington",53,395354,5477
"81","2021-04-24","California",6,3730549,61428
"82","2021-04-24","Michigan",26,909952,18398
"83","2021-04-24","Nebraska",31,218580,2356
"84","2021-04-24","New York",36,2025257,51419
"85","2021-04-24","Washington",53,396890,5478
"86","2021-04-25","California",6,3731900,61463
"87","2021-04-25","Michigan",26,909952,18398
"88","2021-04-25","Nebraska",31,218732,2356
"89","2021-04-25","New York",36,2029307,51471
"90","2021-04-25","Washington",53,397006,5478
"91","2021-04-26","California",6,3734630,61485
"92","2021-04-26","Michigan",26,917016,18439
"93","2021-04-26","Nebraska",31,218832,2361
"94","2021-04-26","New York",36,2032325,51511
"95","2021-04-26","Washington",53,399327,5498
"96","2021-04-27","California",6,3736753,61504
"97","2021-04-27","Michigan",26,921596,18552
"98","2021-04-27","Nebraska",31,219090,2362
"99","2021-04-27","New York",36,2035668,51587
"100","2021-04-27","Washington",53,400386,5510
"101","2021-04-28","California",6,3738507,61571
"102","2021-04-28","Michigan",26,926532,18589
"103","2021-04-28","Nebraska",31,219341,2362
"104","2021-04-28","New York",36,2038668,51608
"105","2021-04-28","Washington",53,402049,5522
"106","2021-04-29","California",6,3739891,61650
"107","2021-04-29","Michigan",26,930717,18705
"108","2021-04-29","Nebraska",31,219559,2365
"109","2021-04-29","New York",36,2042530,51677
"110","2021-04-29","Washington",53,403589,5535
"111","2021-04-30","California",6,3742224,61756
"112","2021-04-30","Michigan",26,934576,18743
"113","2021-04-30","Nebraska",31,219826,2366
"114","2021-04-30","New York",36,2046322,51728
"115","2021-04-30","Washington",53,404972,5547
"116","2021-05-01","California",6,3743780,61853
"117","2021-05-01","Michigan",26,938277,18883
"118","2021-05-01","Nebraska",31,220032,2366
"119","2021-05-01","New York",36,2050174,51791
"120","2021-05-01","Washington",53,406546,5547
"121","2021-05-02","California",6,3745139,61924
"122","2021-05-02","Michigan",26,938277,18883
"123","2021-05-02","Nebraska",31,220127,2366
"124","2021-05-02","New York",36,2053027,51830
"125","2021-05-02","Washington",53,406659,5547
"126","2021-05-03","California",6,3747389,61961
"127","2021-05-03","Michigan",26,943827,18910
"128","2021-05-03","Nebraska",31,220225,2371
"129","2021-05-03","New York",36,2055467,51889
"130","2021-05-03","Washington",53,409151,5555
"131","2021-05-04","California",6,3749576,62016
"132","2021-05-04","Michigan",26,946952,19041
"133","2021-05-04","Nebraska",31,220481,2372
"134","2021-05-04","New York",36,2057701,51949
"135","2021-05-04","Washington",53,410494,5575
"136","2021-05-05","California",6,3751248,62065
"137","2021-05-05","Michigan",26,950023,19087
"138","2021-05-05","Nebraska",31,220720,2372
"139","2021-05-05","New York",36,2060075,52005
"140","2021-05-05","Washington",53,411842,5586
"141","2021-05-06","California",6,3753796,62169
"142","2021-05-06","Michigan",26,954135,19209
"143","2021-05-06","Nebraska",31,220933,2379
"144","2021-05-06","New York",36,2062707,52038
"145","2021-05-06","Washington",53,413004,5598
"146","2021-05-07","California",6,3755950,62211
"147","2021-05-07","Michigan",26,957497,19239
"148","2021-05-07","Nebraska",31,221153,2380
"149","2021-05-07","New York",36,2065172,52077
"150","2021-05-07","Washington",53,414479,5609
"151","2021-05-08","California",6,3757249,62270
